,Date,TAVG,TMAX,TMIN,PRCP,SNOW,SNWD
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/23/2008,-10,,-28,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/24/2008,-30,-23,-36,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/25/2008,-40,-31,-47,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/26/2008,-31,-21,-41,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/27/2008,-39,-29,-43,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/28/2008,-31,-28,-37,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/29/2008,-29,-22,-38,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/30/2008,-15,-4,-23,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/31/2008,-9,-2,-21,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/01/2008,-24,-21,-27,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/02/2008,-24,-20,-29,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/03/2008,-32,-22,-41,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/04/2008,-30,-22,-42,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/05/2008,-20,-15,-31,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/06/2008,-41,-32,-45,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/07/2008,-42,-39,-47,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/08/2008,-48,-41,-51,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/09/2008,-48,-42,-52,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/10/2008,-32,-21,-42,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/11/2008,-25,-18,-35,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/12/2008,-21,-11,-33,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/13/2008,-18,-10,-30,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/14/2008,-20,-13,-24,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/15/2008,-17,-7,-22,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/16/2008,-15,-2,-27,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/17/2008,-15,-10,-21,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/18/2008,-4,-1,-12,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/19/2008,-10,-6,-15,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/20/2008,5,13,-5,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/21/2008,7,16,0,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/22/2008,-2,5,-11,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/23/2008,-14,-11,-16,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/24/2008,-23,-13,-39,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/25/2008,-40,-31,-46,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/26/2008,-35,-27,-43,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/27/2008,-12,0,-31,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/28/2008,-19,-9,,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",02/29/2008,-41,,-49,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/01/2008,-45,-39,-51,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/02/2008,-37,-25,-47,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/03/2008,-29,-20,-38,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/04/2008,-10,0,-26,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/05/2008,-7,-3,-11,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/06/2008,-12,-9,-14,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/07/2008,-13,-10,-15,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/08/2008,-13,-11,-14,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/09/2008,-15,-10,-23,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/10/2008,-13,-7,-23,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/11/2008,-16,-13,-24,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/12/2008,-25,-13,-35,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/13/2008,-27,-12,-37,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/14/2008,-31,-23,-38,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/15/2008,-30,-15,-37,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/16/2008,-29,-23,-37,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/17/2008,-32,-26,-43,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/18/2008,-42,-30,-51,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/19/2008,-44,-33,-52,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/20/2008,-39,-29,-48,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/21/2008,-35,-27,-42,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/22/2008,-37,-28,-45,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/23/2008,-30,-18,-37,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/24/2008,-29,-18,-41,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/25/2008,-27,-20,-35,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/26/2008,-27,-17,-38,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/27/2008,-22,-6,-31,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/28/2008,-23,-9,-35,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/29/2008,-14,-3,-25,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/30/2008,6,26,-13,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",03/31/2008,15,27,4,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/01/2008,22,36,6,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/02/2008,25,34,15,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/03/2008,10,17,-2,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/04/2008,24,40,8,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/05/2008,19,32,8,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/06/2008,11,19,2,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/07/2008,9,13,4,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/08/2008,4,12,-6,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/09/2008,-4,7,-12,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/10/2008,-11,0,-23,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/11/2008,-14,1,-27,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/12/2008,-12,3,-25,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/13/2008,-11,0,-25,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/14/2008,-3,3,-15,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/15/2008,-1,0,-4,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/16/2008,-3,4,-15,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/17/2008,-6,7,-22,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/18/2008,13,28,-9,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/19/2008,30,40,16,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/20/2008,25,29,18,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/21/2008,17,23,10,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/22/2008,16,22,11,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/23/2008,21,38,8,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/24/2008,26,38,12,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/25/2008,18,21,13,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/26/2008,8,14,2,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/27/2008,14,19,6,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/28/2008,12,22,0,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/29/2008,7,23,-6,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",04/30/2008,6,11,-6,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/01/2008,13,16,10,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/02/2008,14,16,10,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/03/2008,17,19,14,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/04/2008,21,25,18,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/05/2008,23,26,20,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/06/2008,23,26,19,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/07/2008,22,26,18,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/08/2008,18,22,14,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/09/2008,20,22,17,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/10/2008,21,26,16,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/11/2008,18,22,16,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/12/2008,19,21,16,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/13/2008,22,26,18,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/14/2008,27,31,23,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/15/2008,28,33,24,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/16/2008,31,44,18,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/17/2008,32,37,26,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/18/2008,26,31,22,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/19/2008,29,32,27,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/20/2008,27,30,21,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/21/2008,26,33,18,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/22/2008,34,44,21,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/23/2008,38,47,27,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/24/2008,44,51,34,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/25/2008,38,40,33,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/26/2008,43,52,33,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/27/2008,42,47,34,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/28/2008,36,41,31,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/29/2008,40,49,27,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/30/2008,37,42,33,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",05/31/2008,35,40,32,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/01/2008,37,47,31,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/02/2008,41,59,32,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/03/2008,48,64,34,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/04/2008,56,72,41,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/05/2008,38,41,35,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/06/2008,44,55,34,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/07/2008,48,57,37,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/08/2008,52,68,37,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/09/2008,47,54,42,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/10/2008,50,60,43,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/11/2008,55,65,43,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/12/2008,53,66,40,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/13/2008,54,66,39,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/14/2008,60,74,41,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/15/2008,56,68,45,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/16/2008,51,60,44,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/17/2008,50,56,42,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/18/2008,44,50,38,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/19/2008,54,63,40,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/20/2008,62,71,50,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/21/2008,59,70,49,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/22/2008,58,70,46,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/23/2008,64,78,51,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/24/2008,58,69,49,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/25/2008,59,69,46,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/26/2008,61,70,49,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/27/2008,60,69,50,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/28/2008,51,60,45,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/29/2008,59,70,41,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",06/30/2008,58,69,50,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/01/2008,55,62,45,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/02/2008,58,66,50,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/03/2008,60,73,45,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/04/2008,62,74,46,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/05/2008,64,74,53,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/06/2008,55,66,45,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/07/2008,67,81,48,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/08/2008,66,78,56,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/09/2008,65,76,51,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/10/2008,58,67,51,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/11/2008,56,66,44,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/12/2008,57,71,45,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/13/2008,60,76,47,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/14/2008,62,72,52,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/15/2008,60,66,54,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/16/2008,58,62,53,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/17/2008,46,53,41,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/18/2008,43,48,39,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/19/2008,51,64,41,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/20/2008,53,61,,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/21/2008,40,,37,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/22/2008,42,47,38,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/23/2008,42,45,38,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/24/2008,49,58,38,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/25/2008,54,67,36,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/26/2008,62,76,46,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/27/2008,55,66,43,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/28/2008,60,72,47,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/29/2008,43,54,35,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/30/2008,43,54,34,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",07/31/2008,41,46,36,,,
