,Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
"BETHEL AIRPORT, AK US (USW00026615)",2/18/1924,,30,-2,,0,
"BETHEL AIRPORT, AK US (USW00026615)",2/19/1924,,36,21,,0,
"BETHEL AIRPORT, AK US (USW00026615)",2/20/1924,,38,22,,0,
"BETHEL AIRPORT, AK US (USW00026615)",2/21/1924,,26,20,,0,
"BETHEL AIRPORT, AK US (USW00026615)",2/22/1924,,24,8,,0,
"BETHEL AIRPORT, AK US (USW00026615)",2/23/1924,,24,15,0,0,12
"BETHEL AIRPORT, AK US (USW00026615)",2/24/1924,,26,6,0.04,1,12
"BETHEL AIRPORT, AK US (USW00026615)",2/25/1924,,39,16,0.04,1,13
"BETHEL AIRPORT, AK US (USW00026615)",2/26/1924,,33,20,0.08,2.5,14
"BETHEL AIRPORT, AK US (USW00026615)",2/27/1924,,26,6,0.06,1.5,16
"BETHEL AIRPORT, AK US (USW00026615)",2/28/1924,,13,-4,,0,
"BETHEL AIRPORT, AK US (USW00026615)",2/29/1924,,15,0,,0,
"BETHEL AIRPORT, AK US (USW00026615)",3/1/1924,,30,-4,,,
"BETHEL AIRPORT, AK US (USW00026615)",3/2/1924,,38,18,0,0,12
"BETHEL AIRPORT, AK US (USW00026615)",3/3/1924,,35,18,,,
"BETHEL AIRPORT, AK US (USW00026615)",3/4/1924,,40,26,,,
"BETHEL AIRPORT, AK US (USW00026615)",3/5/1924,,28,20,0.02,0.5,
"BETHEL AIRPORT, AK US (USW00026615)",3/6/1924,,26,20,,,
"BETHEL AIRPORT, AK US (USW00026615)",3/7/1924,,24,4,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",3/8/1924,,18,-5,,,
"BETHEL AIRPORT, AK US (USW00026615)",3/9/1924,,9,-16,,,
"BETHEL AIRPORT, AK US (USW00026615)",3/10/1924,,40,-4,,,
"BETHEL AIRPORT, AK US (USW00026615)",3/11/1924,,42,26,,,
"BETHEL AIRPORT, AK US (USW00026615)",3/12/1924,,42,28,,,
"BETHEL AIRPORT, AK US (USW00026615)",3/13/1924,,32,25,0.02,0.5,12
"BETHEL AIRPORT, AK US (USW00026615)",3/14/1924,,37,20,0.09,1.5,12
"BETHEL AIRPORT, AK US (USW00026615)",3/15/1924,,34,26,0.03,0.5,12
"BETHEL AIRPORT, AK US (USW00026615)",3/16/1924,,34,30,0.38,2.5,12
"BETHEL AIRPORT, AK US (USW00026615)",3/17/1924,,34,27,0.2,1.5,14
"BETHEL AIRPORT, AK US (USW00026615)",3/18/1924,,29,17,0.02,0.5,14
"BETHEL AIRPORT, AK US (USW00026615)",3/19/1924,,38,8,0.26,1.5,14
"BETHEL AIRPORT, AK US (USW00026615)",3/20/1924,,43,32,0.06,0.5,13
"BETHEL AIRPORT, AK US (USW00026615)",3/21/1924,,40,31,0.06,0.5,13
"BETHEL AIRPORT, AK US (USW00026615)",3/22/1924,,34,10,0.04,0.5,13
"BETHEL AIRPORT, AK US (USW00026615)",3/23/1924,,25,3,0.16,1.5,13
"BETHEL AIRPORT, AK US (USW00026615)",3/24/1924,,22,2,,,
"BETHEL AIRPORT, AK US (USW00026615)",3/25/1924,,22,14,,,
"BETHEL AIRPORT, AK US (USW00026615)",3/26/1924,,19,2,,,
"BETHEL AIRPORT, AK US (USW00026615)",3/27/1924,,22,-1,,,
"BETHEL AIRPORT, AK US (USW00026615)",3/28/1924,,30,7,,,
"BETHEL AIRPORT, AK US (USW00026615)",3/29/1924,,31,19,0.1,1.5,14
"BETHEL AIRPORT, AK US (USW00026615)",3/30/1924,,36,22,0.26,2,15
"BETHEL AIRPORT, AK US (USW00026615)",3/31/1924,,34,26,0.26,2,16
"BETHEL AIRPORT, AK US (USW00026615)",4/1/1924,,33,15,0.12,1.5,14
"BETHEL AIRPORT, AK US (USW00026615)",4/2/1924,,20,-1,,0,
"BETHEL AIRPORT, AK US (USW00026615)",4/3/1924,,17,-6,,0,
"BETHEL AIRPORT, AK US (USW00026615)",4/4/1924,,18,0,,0,
"BETHEL AIRPORT, AK US (USW00026615)",4/5/1924,,12,-14,,0,
"BETHEL AIRPORT, AK US (USW00026615)",4/6/1924,,15,-22,,0,
"BETHEL AIRPORT, AK US (USW00026615)",4/7/1924,,29,0,0.1,1.5,12
"BETHEL AIRPORT, AK US (USW00026615)",4/8/1924,,32,25,0.14,2,12
"BETHEL AIRPORT, AK US (USW00026615)",4/9/1924,,42,24,,0,
"BETHEL AIRPORT, AK US (USW00026615)",4/10/1924,,42,30,0.08,1.5,14
"BETHEL AIRPORT, AK US (USW00026615)",4/11/1924,,34,27,0.02,0.4,
"BETHEL AIRPORT, AK US (USW00026615)",4/12/1924,,30,9,0.06,1,15
"BETHEL AIRPORT, AK US (USW00026615)",4/13/1924,,19,-13,,0,
"BETHEL AIRPORT, AK US (USW00026615)",4/14/1924,,18,9,0.06,1,15
"BETHEL AIRPORT, AK US (USW00026615)",4/15/1924,,17,-11,,0,
"BETHEL AIRPORT, AK US (USW00026615)",4/16/1924,,10,-20,,0,
"BETHEL AIRPORT, AK US (USW00026615)",4/17/1924,,10,-25,,0,
"BETHEL AIRPORT, AK US (USW00026615)",4/18/1924,,27,-9,0.24,3,15
"BETHEL AIRPORT, AK US (USW00026615)",4/19/1924,,33,5,0.24,3,17
"BETHEL AIRPORT, AK US (USW00026615)",4/20/1924,,16,-11,,0,
"BETHEL AIRPORT, AK US (USW00026615)",4/21/1924,,14,-22,,0,
"BETHEL AIRPORT, AK US (USW00026615)",4/22/1924,,16,4,,0,
"BETHEL AIRPORT, AK US (USW00026615)",4/23/1924,,15,4,,0,
"BETHEL AIRPORT, AK US (USW00026615)",4/24/1924,,17,-12,0.04,0.8,14
"BETHEL AIRPORT, AK US (USW00026615)",4/25/1924,,21,2,0.06,0.9,15
"BETHEL AIRPORT, AK US (USW00026615)",4/26/1924,,21,-2,,0,
"BETHEL AIRPORT, AK US (USW00026615)",4/27/1924,,9,-13,,0,
"BETHEL AIRPORT, AK US (USW00026615)",4/28/1924,,12,-16,,0,
"BETHEL AIRPORT, AK US (USW00026615)",4/29/1924,,18,-5,,0,
"BETHEL AIRPORT, AK US (USW00026615)",4/30/1924,,25,12,,0,
"BETHEL AIRPORT, AK US (USW00026615)",5/1/1924,,28,3,0,,
"BETHEL AIRPORT, AK US (USW00026615)",5/2/1924,,31,4,0,,
"BETHEL AIRPORT, AK US (USW00026615)",5/3/1924,,32,7,0,,
"BETHEL AIRPORT, AK US (USW00026615)",5/4/1924,,30,5,0,,
"BETHEL AIRPORT, AK US (USW00026615)",5/5/1924,,30,8,0,,
"BETHEL AIRPORT, AK US (USW00026615)",5/6/1924,,32,5,0,,
"BETHEL AIRPORT, AK US (USW00026615)",5/7/1924,,37,10,0,,
"BETHEL AIRPORT, AK US (USW00026615)",5/8/1924,,42,23,0,,
"BETHEL AIRPORT, AK US (USW00026615)",5/9/1924,,39,31,0,,
"BETHEL AIRPORT, AK US (USW00026615)",5/10/1924,,42,27,0,,
"BETHEL AIRPORT, AK US (USW00026615)",5/11/1924,,42,26,0,,
"BETHEL AIRPORT, AK US (USW00026615)",5/12/1924,,40,24,0,,
"BETHEL AIRPORT, AK US (USW00026615)",5/13/1924,,35,29,0.12,0,0
"BETHEL AIRPORT, AK US (USW00026615)",5/14/1924,,42,30,0.16,,
"BETHEL AIRPORT, AK US (USW00026615)",5/15/1924,,39,32,0,,
"BETHEL AIRPORT, AK US (USW00026615)",5/16/1924,,46,31,0.08,,
"BETHEL AIRPORT, AK US (USW00026615)",5/17/1924,,50,36,0.1,,
"BETHEL AIRPORT, AK US (USW00026615)",5/18/1924,,53,33,0,,
"BETHEL AIRPORT, AK US (USW00026615)",5/19/1924,,62,33,0,,
"BETHEL AIRPORT, AK US (USW00026615)",5/20/1924,,62,31,0,,
"BETHEL AIRPORT, AK US (USW00026615)",5/21/1924,,56,40,0.12,,
"BETHEL AIRPORT, AK US (USW00026615)",5/22/1924,,61,32,0,,
"BETHEL AIRPORT, AK US (USW00026615)",5/23/1924,,59,31,0,,
"BETHEL AIRPORT, AK US (USW00026615)",5/24/1924,,63,29,0,,
"BETHEL AIRPORT, AK US (USW00026615)",5/25/1924,,56,40,0,,
"BETHEL AIRPORT, AK US (USW00026615)",5/26/1924,,58,36,0,,
"BETHEL AIRPORT, AK US (USW00026615)",5/27/1924,,62,32,0,,
"BETHEL AIRPORT, AK US (USW00026615)",5/28/1924,,58,37,0,,
"BETHEL AIRPORT, AK US (USW00026615)",5/29/1924,,55,39,0,,
"BETHEL AIRPORT, AK US (USW00026615)",5/30/1924,,62,36,0,,
"BETHEL AIRPORT, AK US (USW00026615)",5/31/1924,,58,38,0,,
"BETHEL AIRPORT, AK US (USW00026615)",6/1/1924,,53,38,0.14,,
"BETHEL AIRPORT, AK US (USW00026615)",6/2/1924,,56,31,0.06,,
"BETHEL AIRPORT, AK US (USW00026615)",6/3/1924,,51,38,0.14,,
"BETHEL AIRPORT, AK US (USW00026615)",6/4/1924,,52,34,0,,
"BETHEL AIRPORT, AK US (USW00026615)",6/5/1924,,69,42,0,,
"BETHEL AIRPORT, AK US (USW00026615)",6/6/1924,,65,40,0.2,,
"BETHEL AIRPORT, AK US (USW00026615)",6/7/1924,,58,46,0.16,,
"BETHEL AIRPORT, AK US (USW00026615)",6/8/1924,,56,43,0.3,,
"BETHEL AIRPORT, AK US (USW00026615)",6/9/1924,,48,34,0.12,,
"BETHEL AIRPORT, AK US (USW00026615)",6/10/1924,,51,42,0.16,,
"BETHEL AIRPORT, AK US (USW00026615)",6/11/1924,,63,41,0.02,,
"BETHEL AIRPORT, AK US (USW00026615)",6/12/1924,,,46,0,,
"BETHEL AIRPORT, AK US (USW00026615)",6/13/1924,,60,38,0,,
"BETHEL AIRPORT, AK US (USW00026615)",6/14/1924,,58,44,0.22,,
"BETHEL AIRPORT, AK US (USW00026615)",6/15/1924,,56,38,0,,
"BETHEL AIRPORT, AK US (USW00026615)",6/16/1924,,56,46,0.4,,
"BETHEL AIRPORT, AK US (USW00026615)",6/17/1924,,53,44,0.08,,
"BETHEL AIRPORT, AK US (USW00026615)",6/18/1924,,60,44,0.07,,
"BETHEL AIRPORT, AK US (USW00026615)",6/19/1924,,70,48,0.15,,
"BETHEL AIRPORT, AK US (USW00026615)",6/20/1924,,70,51,0,,
"BETHEL AIRPORT, AK US (USW00026615)",6/21/1924,,72,49,0,,
"BETHEL AIRPORT, AK US (USW00026615)",6/22/1924,,82,47,0,,
"BETHEL AIRPORT, AK US (USW00026615)",6/23/1924,,81,54,0,,
"BETHEL AIRPORT, AK US (USW00026615)",6/24/1924,,74,50,0,,
"BETHEL AIRPORT, AK US (USW00026615)",6/25/1924,,76,52,0,,
"BETHEL AIRPORT, AK US (USW00026615)",6/26/1924,,72,52,0,,
"BETHEL AIRPORT, AK US (USW00026615)",6/27/1924,,69,52,0.03,,
"BETHEL AIRPORT, AK US (USW00026615)",6/28/1924,,72,50,0,,
"BETHEL AIRPORT, AK US (USW00026615)",6/29/1924,,73,49,0,,
"BETHEL AIRPORT, AK US (USW00026615)",6/30/1924,,65,40,0,,
"BETHEL AIRPORT, AK US (USW00026615)",7/1/1924,,76,40,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",7/2/1924,,66,38,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",7/3/1924,,60,46,0.46,0,
"BETHEL AIRPORT, AK US (USW00026615)",7/4/1924,,55,43,0.15,0,
"BETHEL AIRPORT, AK US (USW00026615)",7/5/1924,,51,44,0.63,0,
"BETHEL AIRPORT, AK US (USW00026615)",7/6/1924,,62,39,0.12,0,
"BETHEL AIRPORT, AK US (USW00026615)",7/7/1924,,62,42,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",7/8/1924,,63,44,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",7/9/1924,,66,47,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",7/10/1924,,71,47,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",7/11/1924,,77,41,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",7/12/1924,,65,46,0.21,0,
"BETHEL AIRPORT, AK US (USW00026615)",7/13/1924,,64,49,0.08,0,
"BETHEL AIRPORT, AK US (USW00026615)",7/14/1924,,68,51,0.02,0,
"BETHEL AIRPORT, AK US (USW00026615)",7/15/1924,,71,50,0.21,0,
"BETHEL AIRPORT, AK US (USW00026615)",7/16/1924,,58,49,0.23,0,
"BETHEL AIRPORT, AK US (USW00026615)",7/17/1924,,62,44,0.27,0,
"BETHEL AIRPORT, AK US (USW00026615)",7/18/1924,,66,48,0.09,0,
"BETHEL AIRPORT, AK US (USW00026615)",7/19/1924,,62,45,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",7/20/1924,,62,46,0.2,0,
"BETHEL AIRPORT, AK US (USW00026615)",7/21/1924,,53,45,0.26,0,
"BETHEL AIRPORT, AK US (USW00026615)",7/22/1924,,52,47,0.38,0,
"BETHEL AIRPORT, AK US (USW00026615)",7/23/1924,,56,45,0.29,0,
"BETHEL AIRPORT, AK US (USW00026615)",7/24/1924,,54,46,0.06,0,
"BETHEL AIRPORT, AK US (USW00026615)",7/25/1924,,49,46,0.23,0,
